Province	County	Town	Pop	Cases	Deaths	Mortality	Date.of.first	Date.of.last	Day.of.first	Day.of.last	LAT	LONG	Case.per.pop
Leinster	Dublin	Dublin	238531	3813	1664	43.6	"January 30, 1849"	"November 17, 1849"	58	349	53.349805	-6.26031	1598.534362
Leinster	Dublin	Kingstown	7229	88	37	42	"May 4, 1849"	"October 2, 1849"	152	303	53.29279	-6.141937	1217.319131
Leinster	Dublin	Ranelagh	2290	0	0	0	0	0	0	0	53.326844	-6.257085	0
Leinster	Dublin	Rathmines	2429	2	1	50	"September 12, 1849"	"September 27, 1849"	283	298	53.321882	-6.265505	82.33841087
Leinster	Dublin	Skerries	2417	126	45	35.7	"August 12, 1849"	"October 14, 1849"	252	315	53.580552	-6.107878	5213.074059
Ulster	Fermanagh	Enniskillen	5686	0	0	0	0	0	0	0	54.34363	-7.63093	0
Connaught	Galway	Ballinasloe	4934	1377	756	54.9	"April 23, 1849"	"August 19, 1849"	141	259	53.328762	-8.226947	27908.39076
Connaught	Galway	Galway	32511	897	426	47.4	"April 10, 1849"	"May 29, 1849"	128	177	53.270559	-9.056668	2759.066162
Connaught	Galway	Gort	3056	1044	403	38.6	"March 27, 1849"	"July 24, 1849"	114	233	53.066643	-8.818749	34162.30366
Connaught	Galway	Loughrea	5458	647	290	44.8	"April 26, 1849"	"May 30, 1849"	144	178	53.198914	-8.566093	11854.15903
Connaught	Galway	Tuam	6034	487	224	46	"April 21, 1849"	"June 15, 1849"	139	194	53.517988	-8.855627	8070.931389
Munster	Kerry	Dingle	3386	86	37	43	"May 8, 1849"	"May 28, 1849"	156	176	52.138761	-10.270536	2539.870053
Munster	Kerry	Killarney	7127	116	65	56	"April 10, 1849"	"July 6, 1849"	128	215	52.059935	-9.504427	1627.613302
Munster	Kerry	Listowel	2598	26	13	50	"April 25, 1849"	"May 23, 1849"	143	171	52.446049	-9.485365	1000.769823
Munster	Kerry	Tralee	11363	395	249	63	"April 6, 1849"	"June 24, 1849"	124	203	52.27131	-9.699932	3476.194667
Leinster	Kildare	Athy	4698	27	11	40.8	"June 25, 1849"	"September 29, 1849"	204	300	52.991834	-6.985728	574.7126437
Leinster	Kildare	Maynooth	2129	141	47	33.3	"June 7, 1849"	"October 3, 1849"	186	304	53.38129	-6.59185	6622.827619
Leinster	Kildare	Naas	3571	0	0	0	0	0	0	0	53.220565	-6.659308	0
Leinster	Kilkenny	Craiguenamanagh	2248	11	10	91	"July 17, 1849"	"November 25, 1849"	226	357	52.544508	-6.954861	489.3238434
Leinster	Kilkenny	Freshford	2075	88	31	35.2	"February 23, 1849"	"June 29, 1850"	82	573	52.732505	-7.396855	4240.963855
Leinster	Kilkenny	Kilkenny	23625	1046	529	50.5	"February 6, 1849"	"October 28, 1849"	65	329	52.654145	-7.244788	4427.513228
Leinster	Kilkenny	Thomastown	2348	14	7	50	"February 6, 1849"	"March 2, 1849"	65	89	52.527082	-7.138821	596.2521295
Leinster	King's	Banagher	2827	62	20	32.2	"May 10, 1849"	"June 12, 1849"	158	191	53.186464	-7.995351	2193.137602
Leinster	King's	Parsonstown	6336	604	263	43.5	"May 10, 1849"	"July 23, 1849"	158	232	53.098005	-7.909688	9532.828283
Leinster	King's	Portarlington	3106	0	0	0	0	0	0	0	53.161211	-7.187757	0
Leinster	King's	Tullamore	6343	175	114	65.1	"May 25, 1849"	"August 12, 1849"	173	252	53.275526	-7.493385	2758.946871
Munster	Limerick	Limerick	65296	1500	746	49.7	"February 26, 1849"	"September 7, 1849"	85	278	52.66802	-8.630498	2297.231071
Munster	Limerick	Newcastle	2917	145	38	26.4	"March 20, 1849"	"April 27, 1849"	107	145	52.44875	-9.054582	4970.860473
Munster	Limerick	Rathkeale	4201	409	182	44.5	"March 26, 1849"	"May 1, 1849"	113	149	52.523807	-8.937097	9735.777196
Ulster	Londonderry	Coleraine	6255	3	1	33.3	"December 10, 1848"	"April 24, 1849"	7	142	55.12529	-6.66842	47.9616307
Ulster	Londonderry	Londonderry	15150	58	14	24.1	"January 10, 1849"	"March 21, 1849"	38	108	54.996612	-7.308575	382.8382838
Ulster	Londonderry	Newtownlimavady	3101	2	2	100	"July 3, 1849"	"July 7, 1849"	212	216	55.05222	-6.94035	64.49532409
Leinster	Longford	Granard	2408	0	0	0	0	0	0	0	53.779271	-7.491778	0
Leinster	Longford	Longford	4966	240	145	60.4	"May 13, 1849"	"August 21, 1849"	161	261	53.723565	-7.720881	4832.863472
Leinster	Louth	Ardee	3679	120	20	16.6	"April 11, 1849"	"October 10, 1849"	129	311	53.857623	-6.540001	3261.755912
Leinster	Louth	Drogheda	19260	214	72	33.6	"March 2, 1849"	"May 27, 1849"	89	175	53.717856	-6.356099	1111.111111
Leinster	Louth	Dundalk	10782	224	73	32.5	"May 13, 1849"	"July 24, 1849"	161	233	53.997945	-6.405957	2077.536635
Connaught	Mayo	Ballina	7012	728	232	31.8	"July 24, 1849"	"October 2, 1849"	233	303	54.114948	-9.155069	10382.20194
Connaught	Mayo	Ballinrobe	2678	110	57	51.8	"March 31, 1849"	"May 19, 1849"	118	167	53.623734	-9.221114	4107.542942
Connaught	Mayo	Castlebar	5137	148	58	39.1	"May 17, 1849"	"August 19, 1849"	165	259	53.855001	-9.287926	2881.058984
Connaught	Mayo	Clare	2256	0	0	0	0	0	0	0	53.719591	-8.990909	0
Connaught	Mayo	Westport	4365	90	40	44.4	"May 5, 1849"	"July 8, 1849"	153	217	53.802131	-9.514347	2061.85567
Leinster	Meath	Kells	4205	330	156	47.2	"June 24, 1849"	"August 16, 1849"	203	256	53.726835	-6.874833	7847.800238
Leinster	Meath	Navan	5628	38	16	42.1	"April 2, 1849"	"August 2, 1849"	120	242	53.655429	-6.6867	675.1954513
Leinster	Meath	Trim	2269	6	5	83.3	"July 24, 1849"	"September 16, 1849"	233	287	53.554826	-6.791115	264.4336712
Ulster	Monaghan	Castleblayney	2134	0	0	0	0	0	0	0	54.120659	-6.739737	0
Ulster	Monaghan	Clones	2877	0	0	0	0	0	0	0	54.179683	-7.230667	0
Ulster	Monaghan	Monaghan	4130	130	59	45.3	"February 10, 1849"	"April 27, 1849"	69	145	54.249205	-6.968313	3147.699758
Leinster	Queen's	Maryborough	3633	0	0	0	0	0	0	0	53.032812	-7.298793	0
Leinster	Queen's	Mountmellick	4755	5	3	60	"June 26, 1849"	"July 27, 1849"	205	236	53.118148	-7.326738	105.1524711
Leinster	Queen's	Mountrath	3000	8	1	12.5	"May 31, 1849"	"August 30, 1849"	179	270	53.00256	-7.47514	266.6666667
Connaught	Roscommon	Athlone	6393	342	185	54	"May 3, 1849"	"September 10, 1849"	151	281	53.423933	-7.94069	5349.601126
Connaught	Roscommon	Boyle	3234	14	8	57.1	"September 20, 1849"	"October 11, 1849"	291	312	53.972208	-8.297276	432.9004329
Connaught	Roscommon	Roscommon	3349	116	68	58.6	"February 7, 1849"	"September 22, 1849"	66	293	53.627591	-8.189096	3463.720514
Connaught	Sligo	Sligo	14318	392	196	50	"August 7, 1849"	"October 8, 1849"	247	309	54.27661	-8.476089	2737.812544
Munster	Tipperary	Caher	3668	116	65	56	"March 16, 1849"	"May 29, 1849"	103	177	52.37453	-7.925247	3162.486369
Munster	Tipperary	Carriel-on-suir	11049	266	126	47.3	"April 7, 1849"	"October 6, 1849"	125	307	52.34765	-7.418971	2407.457688
Munster	Tipperary	Cashel	8027	0	0	0	0	0	0	0	52.516757	-7.887675	0
Munster	Tipperary	Clogheen	2049	108	56	51.8	"April 7, 1849"	"May 23, 1849"	125	171	52.277079	-7.995103	5270.863836
Munster	Tipperary	Clonmel	13505	440	184	41.8	"March 23, 1849"	"July 12, 1849"	110	221	52.355817	-7.690255	3258.052573
Munster	Tipperary	Fethard	3915	10	9	90	"March 28, 1849"	"April 10, 1849"	115	128	52.470977	-7.696789	255.4278416
Munster	Tipperary	Nenagh	8618	400	240	60	"March 22, 1849"	"May 8, 1849"	109	156	52.864297	-8.197556	4641.448132
Munster	Tipperary	Roscrea	5275	90	39	48.3	"April 30, 1849"	"May 4, 1849"	148	152	52.955179	-7.79847	1706.161137
Munster	Tipperary	Templemore	3685	83	35	42.1	"April 28, 1849"	"July 26, 1849"	146	235	52.794802	-7.839861	2252.374491
Munster	Tipperary	Thurles	7523	489	259	52.9	"April 17, 1849"	"June 10, 1850"	135	554	52.680106	-7.804442	6500.066463
Munster	Tipperary	Tipperary	7370	176	80	45.4	"March 21, 1849"	"November 25, 1849"	108	357	52.473789	-8.161851	2388.059701
Ulster	Tyrone	Cookstown	3006	0	0	0	0	0	0	0	54.64102	-6.74429	0
Ulster	Tyrone	Dungannon	3801	0	0	0	0	0	0	0	54.50425	-6.76536	0
Ulster	Tyrone	Omagh	2947	0	0	0	0	0	0	0	54.59657	-7.30691	0
Ulster	Tyrone	Strabane	4704	0	0	0	0	0	0	0	54.827269	-7.463579	0
Munster	Waterford	Cappoquin	2341	17	8	47	"April 25, 1849"	"September 12, 1849"	143	283	52.146427	-7.851625	726.1853909
Munster	Waterford	Dungarvan	12382	723	344	47.4	"April 29, 1849"	"September 11, 1849"	147	282	52.093676	-7.620363	5839.121305
Munster	Waterford	Lismore	3007	91	53	58.2	"May 2, 1849"	"July 31, 1849"	150	240	52.135818	-7.93768	3026.272032
Munster	Waterford	Portlaw	3647	72	13	18	"May 13, 1849"	"August 21, 1849"	161	261	52.288199	-7.314441	1974.225391
Munster	Waterford	Tallow	2969	35	19	54.2	"April 29, 1849"	"August 27, 1849"	147	267	52.092141	-8.00703	1178.848097
Munster	Waterford	Waterford	29288	522	294	56.3	"April 15, 1849"	"September 7, 1849"	133	278	52.25227	-7.127206	1782.299918
Leinster	Westmeath	Moate	2095	0	0	0	0	0	0	0	53.394999	-7.718619	0
Leinster	Westmeath	Mullingar	4569	190	109	57.3	"April 8, 1849"	"June 1, 1849"	126	180	53.525933	-7.338138	4158.459181
Leinster	Wexford	Enniscorthy	7016	339	139	41	"August 20, 1849"	"March 25, 1850"	260	477	52.502197	-6.56613	4831.812999
Leinster	Wexford	Gorey	3365	298	121	40.6	"April 27, 1849"	"March 12, 1850"	145	464	52.675735	-6.294302	8855.869242
Leinster	Wexford	New_Ross	7543	180	96	53.3	"February 16, 1849"	"December 27, 1849"	75	389	52.396204	-6.94719	2386.318441
Leinster	Wexford	Wexford	11252	188	76	40.4	"September 4, 1849"	"March 16, 1850"	275	468	52.336916	-6.463338	1670.814077
Leinster	Wicklow	Arklow	3254	0	0	0	0	0	0	0	52.797693	-6.159929	0
Leinster	Wicklow	Wicklow	2794	0	0	0	0	0	0	0	52.980821	-6.044589	0
